城市编码,区域年鉴.年份,城市别名,级别
620600,2000,武威市,地级市（区）
620700,2000,张掖市,地级市（区）
620800,2000,平凉市,地级市（区）
620900,2000,酒泉市,地级市（区）
621000,2000,庆阳市,地级市（区）
621100,2000,定西市,地级市（区）
621200,2000,陇南市,地级市（区）
622900,2000,临夏回族自治州,地级市（区）
623000,2000,甘南藏族自治州,地级市（区）
630100,2000,西宁市,地级市（区）
632100,2000,海东地区,地级市（区）
632200,2000,海北藏族自治州,地级市（区）
632300,2000,黄南藏族自治州,地级市（区）
632500,2000,海南藏族自治州,地级市（区）
632600,2000,果洛藏族自治州,地级市（区）
632700,2000,玉树藏族自治州,地级市（区）
632800,2000,海西蒙古族藏族自治州,地级市（区）
640100,2000,银川市,地级市（区）
640200,2000,石嘴山市,地级市（区）
640300,2000,吴忠市,地级市（区）
640400,2000,固原市,地级市（区）
640500,2000,中卫市,地级市（区）
650100,2000,乌鲁木齐市,地级市（区）
650200,2000,克拉玛依市,地级市（区）
652100,2000,吐鲁番地区,地级市（区）
652200,2000,哈密地区,地级市（区）
652300,2000,昌吉回族自治州,地级市（区）
652700,2000,博尔塔拉蒙古自治州,地级市（区）
652800,2000,巴音郭楞蒙古自治州,地级市（区）
652900,2000,阿克苏地区,地级市（区）
653000,2000,克孜勒苏柯尔克孜自治州,地级市（区）
653100,2000,喀什地区,地级市（区）
653200,2000,和田地区,地级市（区）
654000,2000,伊犁哈萨克自治州,地级市（区）
654200,2000,塔城地区,地级市（区）
654300,2000,阿勒泰地区,地级市（区）
659001,2000,石河子市,省直辖县
659002,2000,阿拉尔市,省直辖县
659003,2000,图木舒克市,省直辖县
659004,2000,五家渠市,省直辖县
130100,2001,石家庄市,地级市（区）
130200,2001,唐山市,地级市（区）
130300,2001,秦皇岛市,地级市（区）
130400,2001,邯郸市,地级市（区）
130500,2001,邢台市,地级市（区）
130600,2001,保定市,地级市（区）
130700,2001,张家口市,地级市（区）
130800,2001,承德市,地级市（区）
130900,2001,沧州市,地级市（区）
131000,2001,廊坊市,地级市（区）
131100,2001,衡水市,地级市（区）
140100,2001,太原市,地级市（区）
140200,2001,大同市,地级市（区）
140300,2001,阳泉市,地级市（区）
140400,2001,长治市,地级市（区）
140500,2001,晋城市,地级市（区）
140600,2001,朔州市,地级市（区）
140700,2001,晋中市,地级市（区）
140800,2001,运城市,地级市（区）
140900,2001,忻州市,地级市（区）
141000,2001,临汾市,地级市（区）
141100,2001,吕梁市,地级市（区）
150100,2001,呼和浩特市,地级市（区）
150200,2001,包头市,地级市（区）
150300,2001,乌海市,地级市（区）
150400,2001,赤峰市,地级市（区）
150500,2001,通辽市,地级市（区）
150600,2001,鄂尔多斯市,地级市（区）
150700,2001,呼伦贝尔市,地级市（区）
150800,2001,巴彦淖尔市,地级市（区）
150900,2001,乌兰察布市,地级市（区）
152200,2001,兴安盟,地级市（区）
152500,2001,锡林郭勒盟,地级市（区）
152900,2001,阿拉善盟,地级市（区）
210100,2001,沈阳市,副省级城市
210200,2001,大连市,副省级城市
210300,2001,鞍山市,地级市（区）
210400,2001,抚顺市,地级市（区）
210500,2001,本溪市,地级市（区）
210600,2001,丹东市,地级市（区）
210700,2001,锦州市,地级市（区）
210800,2001,营口市,地级市（区）
210900,2001,阜新市,地级市（区）
211000,2001,辽阳市,地级市（区）
211100,2001,盘锦市,地级市（区）
211200,2001,铁岭市,地级市（区）
211300,2001,朝阳市,地级市（区）
